id,totalcost,airport,totalduration,flightid,flightcost,drivingcost,parkingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration
154,460,BWI,907,2ciqOzND4aTUuEtKvqnX8203P,423.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,882,120,72
155,470,BWI,948,2ciqOzND4aTUuEtKvqnX8204L,433.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,937,120,67
156,470,BWI,966,2ciqOzND4aTUuEtKvqnX8204P,433.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,950,120,72
157,470,BWI,913,2ciqOzND4aTUuEtKvqnX8204F,433.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,897,120,72
158,470,BWI,765,2ciqOzND4aTUuEtKvqnX82044,433.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,749,120,72
159,470,BWI,810,2ciqOzND4aTUuEtKvqnX82048,433.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,799,120,67
160,470,BWI,790,2ciqOzND4aTUuEtKvqnX82047,433.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,779,120,67
161,470,BWI,746,2ciqOzND4aTUuEtKvqnX82042,433.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,735,120,67
162,470,BWI,951,2ciqOzND4aTUuEtKvqnX8204K,433.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,935,120,72
163,474,BWI,963,2ciqOzND4aTUuEtKvqnX8204V,437.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,952,120,67
164,479,BWI,739,2ciqOzND4aTUuEtKvqnX82033,442.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,728,120,67
165,479,BWI,699,2ciqOzND4aTUuEtKvqnX8202t,442.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,682,120,72
166,479,BWI,779,2ciqOzND4aTUuEtKvqnX82040,442.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,763,120,72
167,479,BWI,749,2ciqOzND4aTUuEtKvqnX8203v,442.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,724,120,72
168,479,BWI,804,2ciqOzND4aTUuEtKvqnX8203E,442.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,788,120,72
169,479,BWI,674,2ciqOzND4aTUuEtKvqnX8203n,442.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,657,120,72
170,479,BWI,774,2ciqOzND4aTUuEtKvqnX82037,442.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,749,120,72
171,491,BWI,841,2ciqOzND4aTUuEtKvqnX8203S,454.61,1,36,2016-01-25T06:00,2016-01-25T09:20-05:00,821,120,72
172,491,BWI,841,2ciqOzND4aTUuEtKvqnX8203T,454.61,1,36,2016-01-25T06:00,2016-01-25T09:20-05:00,821,120,72
173,500,BWI,804,2ciqOzND4aTUuEtKvqnX8203Y,463.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,788,120,72
174,500,BWI,929,2ciqOzND4aTUuEtKvqnX8204O,463.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,913,120,72
175,500,BWI,981,2ciqOzND4aTUuEtKvqnX82041,463.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,965,120,72
176,504,BWI,1003,2ciqOzND4aTUuEtKvqnX8204g,468.18,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,986,120,72
177,516,BWI,1017,2ciqOzND4aTUuEtKvqnX82043,479.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,992,120,72
178,521,BWI,695,2ciqOzND4aTUuEtKvqnX8204I,484.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,679,120,72
179,525,BWI,875,2ciqOzND4aTUuEtKvqnX8204H,488.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,850,120,72
180,525,BWI,800,2ciqOzND4aTUuEtKvqnX8204A,488.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,783,120,72
181,525,BWI,905,2ciqOzND4aTUuEtKvqnX8204N,488.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,889,120,72
182,525,BWI,800,2ciqOzND4aTUuEtKvqnX82049,488.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,783,120,72
183,535,BWI,808,2ciqOzND4aTUuEtKvqnX8203g,498.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,791,120,72
184,535,BWI,861,2ciqOzND4aTUuEtKvqnX8203r,498.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,844,120,72
185,538,BWI,1103,2ciqOzND4aTUuEtKvqnX8204E,501.60,1,36,2016-01-25T03:45,2016-01-25T07:10-05:00,1078,120,72
186,540,BWI,855,2ciqOzND4aTUuEtKvqnX8204X,503.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,844,120,67
187,543,BWI,770,2ciqOzND4aTUuEtKvqnX8204B,506.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,745,120,72
188,550,BWI,951,2ciqOzND4aTUuEtKvqnX8204s,513.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,926,120,72
189,550,BWI,865,2ciqOzND4aTUuEtKvqnX8204S,513.85,1,36,2016-01-25T02:45,2016-01-25T06:00-05:00,850,120,72
190,550,BWI,865,2ciqOzND4aTUuEtKvqnX8204T,513.85,1,36,2016-01-25T02:45,2016-01-25T06:00-05:00,850,120,72
191,554,BWI,942,2ciqOzND4aTUuEtKvqnX82046,517.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,925,120,72
192,554,BWI,942,2ciqOzND4aTUuEtKvqnX82045,517.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,925,120,72
