id,totalcost,totalduration,airport,flightid,flightcost,parkingcost,drivingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration,airline,selected
1072,477.01,821,DCA,RSETozIzLjLQdvO1tO9iRU05o,408.6,68,0.41,2016-01-25T05:15,2016-01-25T07:00-05:00,725,75,21,UA,0
594,477.71,917,IAD,0FYkDuZ1Gh6TlvJMkNtn1905o,435.6,40,2.11,2016-01-25T09:30,2016-01-25T12:30-05:00,740,120,57,UA,0
616,478.71,827,IAD,0FYkDuZ1Gh6TlvJMkNtn19073,436.6,40,2.11,2016-01-25T09:30,2016-01-25T12:30-05:00,650,120,57,UA,0
315,480.31,849,BWI,2ciqOzND4aTUuEtKvqnX8203n,442.6,35.6,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,657,120,72,UA,0
597,480.71,947,IAD,0FYkDuZ1Gh6TlvJMkNtn1906E,438.6,40,2.11,2016-01-25T05:15,2016-01-25T08:13-05:00,775,120,52,UA,0
617,483.71,933,IAD,0FYkDuZ1Gh6TlvJMkNtn1906A,441.6,40,2.11,2016-01-25T03:00,2016-01-25T06:05-05:00,759,120,54,UA,0
583,484.71,938,IAD,0FYkDuZ1Gh6TlvJMkNtn1907p,442.6,40,2.11,2016-01-25T09:30,2016-01-25T12:32-05:00,761,120,57,UA,0
1077,485.01,832,DCA,RSETozIzLjLQdvO1tO9iRU00X,416.6,68,0.41,2016-01-25T11:30,2016-01-25T13:10-05:00,735,75,22,AS,0
598,485.71,932,IAD,0FYkDuZ1Gh6TlvJMkNtn1906B,443.6,40,2.11,2016-01-25T09:15,2016-01-25T12:25-05:00,755,120,57,UA,0
1180,487.01,838,DCA,RSETozIzLjLQdvO1tO9iRU06D,418.6,68,0.41,2016-01-25T08:00,2016-01-25T09:45-05:00,742,75,21,UA,0
1079,488.01,719,DCA,RSETozIzLjLQdvO1tO9iRU056,419.6,68,0.41,2016-01-25T04:15,2016-01-25T06:00-05:00,623,75,21,UA,0
1060,490.01,858,DCA,RSETozIzLjLQdvO1tO9iRU06P,421.6,68,0.41,2016-01-25T08:45,2016-01-25T10:29-05:00,762,75,21,UA,0
1081,493.01,715,DCA,RSETozIzLjLQdvO1tO9iRU07G,424.6,68,0.41,2016-01-25T12:00,2016-01-25T13:45-05:00,618,75,22,UA,0
1083,494.01,736,DCA,RSETozIzLjLQdvO1tO9iRU07Q,425.6,68,0.41,2016-01-25T04:00,2016-01-25T05:45-05:00,640,75,21,UA,0
618,494.71,739,IAD,0FYkDuZ1Gh6TlvJMkNtn1904w,452.6,40,2.11,2016-01-25T05:15,2016-01-25T08:17-05:00,567,120,52,UA,0
1084,495.01,740,DCA,RSETozIzLjLQdvO1tO9iRU05Y,426.6,68,0.41,2016-01-25T05:15,2016-01-25T07:00-05:00,644,75,21,UA,0
1086,496.01,863,DCA,RSETozIzLjLQdvO1tO9iRU00Z,427.6,68,0.41,2016-01-25T11:30,2016-01-25T13:10-05:00,766,75,22,AS,0
622,496.71,621,IAD,0FYkDuZ1Gh6TlvJMkNtn1902P,454.6,40,2.11,2016-01-25T07:15,2016-01-25T10:15-05:00,449,120,52,UA,0
623,497.71,912,IAD,0FYkDuZ1Gh6TlvJMkNtn1906F,455.6,40,2.11,2016-01-25T09:45,2016-01-25T12:45-05:00,735,120,57,UA,0
624,500.71,930,IAD,0FYkDuZ1Gh6TlvJMkNtn1906N,458.6,40,2.11,2016-01-25T05:15,2016-01-25T08:20-05:00,758,120,52,UA,0
1088,501.01,740,DCA,RSETozIzLjLQdvO1tO9iRU05g,432.6,68,0.41,2016-01-25T05:15,2016-01-25T07:00-05:00,644,75,21,UA,0
600,501.71,857,IAD,0FYkDuZ1Gh6TlvJMkNtn1905n,459.6,40,2.11,2016-01-25T09:30,2016-01-25T12:35-05:00,680,120,57,UA,0
644,502.21,911,IAD,0FYkDuZ1Gh6TlvJMkNtn1907s,460.1,40,2.11,2016-01-25T09:30,2016-01-25T12:36-05:00,734,120,57,UA,0
1089,504.01,863,DCA,RSETozIzLjLQdvO1tO9iRU082,435.6,68,0.41,2016-01-25T06:15,2016-01-25T07:57-05:00,767,75,21,UA,0
645,504.71,843,IAD,0FYkDuZ1Gh6TlvJMkNtn1907Y,462.6,40,2.11,2016-01-25T10:00,2016-01-25T12:52-05:00,671,120,52,UA,0
738,505.71,917,IAD,0FYkDuZ1Gh6TlvJMkNtn19080,463.6,40,2.11,2016-01-25T05:30,2016-01-25T08:25-05:00,745,120,52,UA,0
646,509.71,939,IAD,0FYkDuZ1Gh6TlvJMkNtn1906Y,467.6,40,2.11,2016-01-25T03:15,2016-01-25T06:20-05:00,765,120,54,UA,0
1091,512.01,581,DCA,RSETozIzLjLQdvO1tO9iRU05e,443.6,68,0.41,2016-01-25T14:15,2016-01-25T15:59-05:00,484,75,22,UA,0
1092,513.01,750,DCA,RSETozIzLjLQdvO1tO9iRU06x,444.6,68,0.41,2016-01-25T06:15,2016-01-25T08:00-05:00,654,75,21,AS,0
634,513.71,827,IAD,0FYkDuZ1Gh6TlvJMkNtn1905q,471.6,40,2.11,2016-01-25T05:15,2016-01-25T08:10-05:00,655,120,52,UA,0
1094,514.01,835,DCA,RSETozIzLjLQdvO1tO9iRU06h,445.6,68,0.41,2016-01-25T07:00,2016-01-25T08:39-05:00,739,75,21,UA,0
1096,518.01,821,DCA,RSETozIzLjLQdvO1tO9iRU06d,449.6,68,0.41,2016-01-25T05:15,2016-01-25T07:00-05:00,725,75,21,UA,0
648,520.71,913,IAD,0FYkDuZ1Gh6TlvJMkNtn1900Y,478.6,40,2.11,2016-01-25T10:00,2016-01-25T12:52-05:00,741,120,52,UA,0
177,522.31,871,BWI,2ciqOzND4aTUuEtKvqnX8204I,484.6,35.6,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,679,120,72,UA,0
650,522.71,865,IAD,0FYkDuZ1Gh6TlvJMkNtn1907t,480.6,40,2.11,2016-01-25T05:15,2016-01-25T08:20-05:00,693,120,52,UA,0
651,523.71,680,IAD,0FYkDuZ1Gh6TlvJMkNtn1905u,481.6,40,2.11,2016-01-25T05:15,2016-01-25T08:20-05:00,508,120,52,UA,0
655,525.71,630,IAD,0FYkDuZ1Gh6TlvJMkNtn1900m,483.6,40,2.11,2016-01-25T14:30,2016-01-25T17:23-05:00,457,120,53,UA,0
657,527.71,868,IAD,0FYkDuZ1Gh6TlvJMkNtn1907z,485.6,40,2.11,2016-01-25T09:30,2016-01-25T12:32-05:00,691,120,57,UA,0
1097,528.01,706,DCA,RSETozIzLjLQdvO1tO9iRU05u,459.6,68,0.41,2016-01-25T04:00,2016-01-25T05:45-05:00,610,75,21,UA,0
1099,528.02,757,DCA,RSETozIzLjLQdvO1tO9iRU06L,459.61,68,0.41,2016-01-25T10:15,2016-01-25T12:00-05:00,661,75,21,B6,0
636,528.71,855,IAD,0FYkDuZ1Gh6TlvJMkNtn1907w,486.6,40,2.11,2016-01-25T05:30,2016-01-25T08:30-05:00,683,120,52,UA,0
659,529.71,912,IAD,0FYkDuZ1Gh6TlvJMkNtn1906b,487.6,40,2.11,2016-01-25T09:45,2016-01-25T12:45-05:00,735,120,57,UA,0
1100,530.01,727,DCA,RSETozIzLjLQdvO1tO9iRU06A,461.6,68,0.41,2016-01-25T12:45,2016-01-25T14:30-05:00,630,75,22,UA,0
660,532.71,838,IAD,0FYkDuZ1Gh6TlvJMkNtn1900X,490.6,40,2.11,2016-01-25T05:45,2016-01-25T08:47-05:00,666,120,52,UA,0
1101,533.01,756,DCA,RSETozIzLjLQdvO1tO9iRU07t,464.6,68,0.41,2016-01-25T12:00,2016-01-25T13:37-05:00,659,75,22,UA,0
661,539.71,870,IAD,0FYkDuZ1Gh6TlvJMkNtn1900a,497.6,40,2.11,2016-01-25T05:15,2016-01-25T08:15-05:00,698,120,52,UA,0
1103,540.01,800,DCA,RSETozIzLjLQdvO1tO9iRU06r,471.6,68,0.41,2016-01-25T05:15,2016-01-25T07:00-05:00,704,75,21,UA,0
186,544.31,937,BWI,2ciqOzND4aTUuEtKvqnX8204B,506.6,35.6,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,745,120,72,UA,0
1104,545.01,800,DCA,RSETozIzLjLQdvO1tO9iRU06w,476.6,68,0.41,2016-01-25T04:15,2016-01-25T06:00-05:00,704,75,21,UA,0
1105,546.01,694,DCA,RSETozIzLjLQdvO1tO9iRU07m,477.6,68,0.41,2016-01-25T05:00,2016-01-25T06:50-05:00,598,75,21,UA,0
662,551.71,873,IAD,0FYkDuZ1Gh6TlvJMkNtn1906i,509.6,40,2.11,2016-01-25T03:00,2016-01-25T06:05-05:00,699,120,54,UA,0
664,552.71,816,IAD,0FYkDuZ1Gh6TlvJMkNtn1906T,510.6,40,2.11,2016-01-25T09:30,2016-01-25T12:32-05:00,639,120,57,UA,0
665,554.71,757,IAD,0FYkDuZ1Gh6TlvJMkNtn1907i,512.6,40,2.11,2016-01-25T09:30,2016-01-25T12:30-05:00,580,120,57,UA,0
1106,555.01,858,DCA,RSETozIzLjLQdvO1tO9iRU00b,486.6,68,0.41,2016-01-25T06:15,2016-01-25T08:00-05:00,762,75,21,AS,0
666,560.71,926,IAD,0FYkDuZ1Gh6TlvJMkNtn19077,518.6,40,2.11,2016-01-25T09:30,2016-01-25T12:31-05:00,749,120,57,UA,0
193,568.31,740,BWI,2ciqOzND4aTUuEtKvqnX82039,530.6,35.6,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,548,120,72,UA,0
668,568.71,864,IAD,0FYkDuZ1Gh6TlvJMkNtn1900b,526.6,40,2.11,2016-01-25T05:15,2016-01-25T08:21-05:00,692,120,52,UA,0
1062,570.01,778,DCA,RSETozIzLjLQdvO1tO9iRU07C,501.6,68,0.41,2016-01-25T08:45,2016-01-25T10:29-05:00,682,75,21,UA,0
669,571.71,697,IAD,0FYkDuZ1Gh6TlvJMkNtn1900V,529.6,40,2.11,2016-01-25T05:45,2016-01-25T08:46-05:00,525,120,52,UA,0
672,576.71,749,IAD,0FYkDuZ1Gh6TlvJMkNtn1906O,534.6,40,2.11,2016-01-25T05:15,2016-01-25T08:20-05:00,577,120,52,UA,0
196,582.31,857,BWI,2ciqOzND4aTUuEtKvqnX8204Y,544.6,35.6,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,670,120,67,UA,0
673,582.71,839,IAD,0FYkDuZ1Gh6TlvJMkNtn1900c,540.6,40,2.11,2016-01-25T05:45,2016-01-25T08:46-05:00,667,120,52,UA,0
626,586.71,935,IAD,0FYkDuZ1Gh6TlvJMkNtn1907W,544.6,40,2.11,2016-01-25T03:00,2016-01-25T06:00-05:00,761,120,54,UA,0
674,588.71,912,IAD,0FYkDuZ1Gh6TlvJMkNtn1907T,546.6,40,2.11,2016-01-25T05:15,2016-01-25T08:10-05:00,740,120,52,UA,0
200,595.31,824,BWI,2ciqOzND4aTUuEtKvqnX8204D,557.6,35.6,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,632,120,72,UA,0
675,595.71,948,IAD,0FYkDuZ1Gh6TlvJMkNtn1907j,553.6,40,2.11,2016-01-25T03:00,2016-01-25T06:00-05:00,774,120,54,UA,0
637,596.71,811,IAD,0FYkDuZ1Gh6TlvJMkNtn1906t,554.6,40,2.11,2016-01-25T09:30,2016-01-25T12:37-05:00,634,120,57,UA,0
630,599.71,806,IAD,0FYkDuZ1Gh6TlvJMkNtn1906y,557.6,40,2.11,2016-01-25T05:15,2016-01-25T08:10-05:00,634,120,52,UA,0
