id,airport,departuretime,arrivaltime,duration,cost,tripid
1242,IAD,2016-01-25T08:47-05:00,2016-01-25T16:53-08:00,666,490.60,0FYkDuZ1Gh6TlvJMkNtn1900X
1243,IAD,2016-01-25T08:15-05:00,2016-01-25T16:53-08:00,698,497.60,0FYkDuZ1Gh6TlvJMkNtn1900a
1244,IAD,2016-01-25T06:05-05:00,2016-01-25T14:44-08:00,699,509.60,0FYkDuZ1Gh6TlvJMkNtn1906i
1245,IAD,2016-01-25T08:16-05:00,2016-01-25T18:51-08:00,815,510.60,0FYkDuZ1Gh6TlvJMkNtn1907O
1246,IAD,2016-01-25T12:32-05:00,2016-01-25T20:11-08:00,639,510.60,0FYkDuZ1Gh6TlvJMkNtn1906T
1247,IAD,2016-01-25T12:30-05:00,2016-01-25T19:10-08:00,580,512.60,0FYkDuZ1Gh6TlvJMkNtn1907i
1248,IAD,2016-01-25T12:31-05:00,2016-01-25T22:00-08:00,749,518.60,0FYkDuZ1Gh6TlvJMkNtn19077
1249,IAD,2016-01-25T06:05-05:00,2016-01-25T16:05-08:00,780,525.60,0FYkDuZ1Gh6TlvJMkNtn1900d
1250,IAD,2016-01-25T08:21-05:00,2016-01-25T16:53-08:00,692,526.60,0FYkDuZ1Gh6TlvJMkNtn1900b
1251,IAD,2016-01-25T08:46-05:00,2016-01-25T14:31-08:00,525,529.60,0FYkDuZ1Gh6TlvJMkNtn1900V
1253,IAD,2016-01-25T08:20-05:00,2016-01-25T18:10-08:00,770,534.60,0FYkDuZ1Gh6TlvJMkNtn1907V
1254,IAD,2016-01-25T06:20-05:00,2016-01-25T14:57-08:00,697,534.60,0FYkDuZ1Gh6TlvJMkNtn19072
1255,IAD,2016-01-25T08:20-05:00,2016-01-25T14:57-08:00,577,534.60,0FYkDuZ1Gh6TlvJMkNtn1906O
1256,IAD,2016-01-25T08:46-05:00,2016-01-25T16:53-08:00,667,540.60,0FYkDuZ1Gh6TlvJMkNtn1900c
1261,IAD,2016-01-25T08:10-05:00,2016-01-25T17:30-08:00,740,546.60,0FYkDuZ1Gh6TlvJMkNtn1907T
1262,IAD,2016-01-25T06:00-05:00,2016-01-25T15:54-08:00,774,553.60,0FYkDuZ1Gh6TlvJMkNtn1907j
1269,IAD,2016-01-25T12:32-05:00,2016-01-25T21:15-08:00,703,559.60,0FYkDuZ1Gh6TlvJMkNtn1907P
1270,IAD,2016-01-25T08:15-05:00,2016-01-25T17:00-08:00,705,559.60,0FYkDuZ1Gh6TlvJMkNtn1907R
1271,IAD,2016-01-25T12:32-05:00,2016-01-25T20:55-08:00,683,559.60,0FYkDuZ1Gh6TlvJMkNtn1907G
1272,IAD,2016-01-25T08:15-05:00,2016-01-25T15:41-08:00,626,559.60,0FYkDuZ1Gh6TlvJMkNtn1906u
1274,IAD,2016-01-25T06:00-05:00,2016-01-25T15:41-08:00,761,562.60,0FYkDuZ1Gh6TlvJMkNtn1907o
1285,IAD,2016-01-25T12:25-05:00,2016-01-25T19:33-08:00,608,594.60,0FYkDuZ1Gh6TlvJMkNtn1907M
1286,IAD,2016-01-25T12:25-05:00,2016-01-25T20:11-08:00,646,594.60,0FYkDuZ1Gh6TlvJMkNtn1907Z
1287,IAD,2016-01-25T12:25-05:00,2016-01-25T20:21-08:00,656,594.60,0FYkDuZ1Gh6TlvJMkNtn1907b
1288,IAD,2016-01-25T12:25-05:00,2016-01-25T21:15-08:00,710,594.60,0FYkDuZ1Gh6TlvJMkNtn1907v
1289,IAD,2016-01-25T12:25-05:00,2016-01-25T21:21-08:00,716,594.60,0FYkDuZ1Gh6TlvJMkNtn1907y
1291,IAD,2016-01-25T12:30-05:00,2016-01-25T20:04-08:00,634,607.60,0FYkDuZ1Gh6TlvJMkNtn1907h
1292,IAD,2016-01-25T14:28-05:00,2016-01-25T19:10-08:00,462,623.60,0FYkDuZ1Gh6TlvJMkNtn19060
1293,IAD,2016-01-25T09:23-05:00,2016-01-25T15:41-08:00,558,623.60,0FYkDuZ1Gh6TlvJMkNtn1906Z
1294,IAD,2016-01-25T12:30-05:00,2016-01-25T17:00-08:00,450,623.60,0FYkDuZ1Gh6TlvJMkNtn1905t
1295,IAD,2016-01-25T08:10-05:00,2016-01-25T15:41-08:00,631,623.60,0FYkDuZ1Gh6TlvJMkNtn1906w
1296,IAD,2016-01-25T16:10-05:00,2016-01-25T23:48-08:00,638,623.60,0FYkDuZ1Gh6TlvJMkNtn19071
